@relation 212700L1_2final

@attribute 'status pozyczki' {splacona,splacona_cz,windykacja,odmowa,windykacja_sp}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona,16,806,0,300,21,K,15,48,0
splacona_cz,11,3000,0,500,45,K,89,48,0
splacona_cz,11,2800,0,400,54,K,55,48,2
splacona,16,1045,0,200,50,M,195,48,0
windykacja,11,1200,0,400,39,K,9,48,2130
splacona_cz,12,660,0,400,40,K,7,37,1
splacona_cz,13,1591,0,400,66,M,72,48,1
splacona,13,918,0,336.43,63,K,97,48,105
splacona_cz,13,1412,0,350,73,K,199,48,0
splacona_cz,11,1500,0,377.92,27,K,20,48,0
splacona_cz,11,1577.42,0,200,50,K,201,48,0
splacona_cz,11,1261.98,0,400,40,M,32,48,1
odmowa,12,1400,0,300,36,K,2,2,0
windykacja_sp,12,1100,0,400,33,M,123,48,141
splacona_cz,16,2300,0,500,55,K,58,48,0
splacona_cz,13,1100,0,300,63,K,101,48,8
splacona_cz,13,803.86,0,200,68,K,153,48,0
splacona,12,1375.47,0,300,45,M,2,8,0
windykacja,12,1250,0,200,33,M,0,6,2130
splacona_cz,11,1000,0,300,41,K,57,48,0
windykacja,11,2600,0,600,43,M,4,48,2130
windykacja,99,1122,0,300,53,K,12,30,2130
splacona,12,1500,0,800,35,M,29,35,0
splacona_cz,12,1027,0,300,39,K,4,48,0
odmowa,16,612,0,200,61,K,195,48,0
windykacja,12,2000,0,500,44,M,7,24,2130
splacona_cz,13,1538,0,200,63,M,96,48,0
splacona,99,2063.38,0,626.61,54,M,193,48,251
splacona_cz,16,703,0,200,57,K,21,48,2
splacona_cz,13,866.46,0,200,73,K,191,48,0
splacona_cz,13,1239,0,300,77,K,266,48,2
odmowa,17,541,0,200,54,M,96,48,0
windykacja_sp,13,650,0,576.61,66,K,69,48,379
splacona_cz,13,1013.74,0,300,65,K,109,48,0
splacona_cz,13,1200.29,0,300,62,K,18,48,0
splacona_cz,11,1250,0,400,61,M,101,48,0
splacona_cz,13,962,0,500,62,K,61,48,5
splacona,13,1370,0,662.83,59,K,72,48,0
splacona_cz,13,814.83,0,300,49,M,153,48,1
splacona,11,1566.82,0,300,46,M,345,48,0
splacona_cz,12,1500,0,952.96,48,K,10,26,7
