@relation '212700L1_2final-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_odmowa_windykacja_sp:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5'

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
16,806,0,300,'\'(-inf-30.4]\'',K,15,48,dobry
11,3000,0,500,'\'(42.8-55.2]\'',K,89,48,dobry
11,2800,0,400,'\'(42.8-55.2]\'',K,55,48,dobry
16,1045,0,200,'\'(42.8-55.2]\'',M,195,48,dobry
11,1200,0,400,'\'(30.4-42.8]\'',K,9,48,zly
12,660,0,400,'\'(30.4-42.8]\'',K,7,37,dobry
13,1591,0,400,'\'(55.2-67.6]\'',M,72,48,dobry
13,918,0,336.43,'\'(55.2-67.6]\'',K,97,48,dobry
13,1412,0,350,'\'(67.6-inf)\'',K,199,48,dobry
11,1500,0,377.92,'\'(-inf-30.4]\'',K,20,48,dobry
11,1577.42,0,200,'\'(42.8-55.2]\'',K,201,48,dobry
11,1261.98,0,400,'\'(30.4-42.8]\'',M,32,48,dobry
12,1400,0,300,'\'(30.4-42.8]\'',K,2,2,zly
12,1100,0,400,'\'(30.4-42.8]\'',M,123,48,zly
16,2300,0,500,'\'(42.8-55.2]\'',K,58,48,dobry
13,1100,0,300,'\'(55.2-67.6]\'',K,101,48,dobry
13,803.86,0,200,'\'(67.6-inf)\'',K,153,48,dobry
12,1375.47,0,300,'\'(42.8-55.2]\'',M,2,8,dobry
12,1250,0,200,'\'(30.4-42.8]\'',M,0,6,zly
11,1000,0,300,'\'(30.4-42.8]\'',K,57,48,dobry
11,2600,0,600,'\'(42.8-55.2]\'',M,4,48,zly
99,1122,0,300,'\'(42.8-55.2]\'',K,12,30,zly
12,1500,0,800,'\'(30.4-42.8]\'',M,29,35,dobry
12,1027,0,300,'\'(30.4-42.8]\'',K,4,48,dobry
16,612,0,200,'\'(55.2-67.6]\'',K,195,48,zly
12,2000,0,500,'\'(42.8-55.2]\'',M,7,24,zly
13,1538,0,200,'\'(55.2-67.6]\'',M,96,48,dobry
99,2063.38,0,626.61,'\'(42.8-55.2]\'',M,193,48,dobry
16,703,0,200,'\'(55.2-67.6]\'',K,21,48,dobry
13,866.46,0,200,'\'(67.6-inf)\'',K,191,48,dobry
13,1239,0,300,'\'(67.6-inf)\'',K,266,48,dobry
17,541,0,200,'\'(42.8-55.2]\'',M,96,48,zly
13,650,0,576.61,'\'(55.2-67.6]\'',K,69,48,zly
13,1013.74,0,300,'\'(55.2-67.6]\'',K,109,48,dobry
13,1200.29,0,300,'\'(55.2-67.6]\'',K,18,48,dobry
11,1250,0,400,'\'(55.2-67.6]\'',M,101,48,dobry
13,962,0,500,'\'(55.2-67.6]\'',K,61,48,dobry
13,1370,0,662.83,'\'(55.2-67.6]\'',K,72,48,dobry
13,814.83,0,300,'\'(42.8-55.2]\'',M,153,48,dobry
11,1566.82,0,300,'\'(42.8-55.2]\'',M,345,48,dobry
12,1500,0,952.96,'\'(42.8-55.2]\'',K,10,26,dobry
13,5100,0,700,'\'(55.2-67.6]\'',K,24,48,dobry
13,616,0,200,'\'(67.6-inf)\'',K,242,48,dobry
11,2000,0,600,'\'(42.8-55.2]\'',M,47,48,dobry
16,633.56,0,200,'\'(55.2-67.6]\'',M,107,48,dobry
11,1300,0,500,'\'(30.4-42.8]\'',M,41,48,dobry
98,444,0,200,'\'(42.8-55.2]\'',M,1,48,zly
11,1600,0,300,'\'(42.8-55.2]\'',M,264,48,dobry
11,2327.94,0,600,'\'(-inf-30.4]\'',M,30,48,dobry
11,2500,0,700,'\'(42.8-55.2]\'',M,199,48,dobry
11,1500,0,500,'\'(30.4-42.8]\'',M,98,48,dobry
11,1037.34,0,200,'\'(-inf-30.4]\'',M,29,48,dobry
11,1300,0,400,'\'(42.8-55.2]\'',K,30,48,dobry
16,505.84,0,200,'\'(55.2-67.6]\'',M,133,48,zly
13,951,0,400,'\'(67.6-inf)\'',K,158,48,dobry
12,2000,0,500,'\'(42.8-55.2]\'',K,5,25,dobry
13,1048.07,0,400,'\'(55.2-67.6]\'',M,24,48,dobry
12,1350,0,281.29,'\'(42.8-55.2]\'',K,18,24,dobry
11,1065,0,600,'\'(30.4-42.8]\'',K,55,48,dobry
99,1500,0,300,'\'(-inf-30.4]\'',M,7,7,dobry
17,728,0,200,'\'(-inf-30.4]\'',M,96,48,dobry
11,1638,0,1239.88,'\'(42.8-55.2]\'',K,310,48,dobry
11,3164.48,0,700,'\'(30.4-42.8]\'',K,166,48,zly
13,1425,0,500,'\'(55.2-67.6]\'',K,15,48,dobry
13,965,0,200,'\'(67.6-inf)\'',K,241,48,dobry
11,1650.26,0,300,'\'(55.2-67.6]\'',M,29,48,zly
11,1030,0,400,'\'(42.8-55.2]\'',M,19,48,zly
13,1650,0,400,'\'(55.2-67.6]\'',K,111,48,dobry
13,1768.93,0,500,'\'(55.2-67.6]\'',M,265,48,dobry
11,1800,0,500,'\'(42.8-55.2]\'',M,122,48,dobry
11,1300,0,700,'\'(-inf-30.4]\'',K,5,48,dobry
16,550.8,0,200,'\'(42.8-55.2]\'',M,61,48,zly
13,910.33,0,200,'\'(67.6-inf)\'',M,159,48,dobry
11,980.11,0,300,'\'(30.4-42.8]\'',K,40,48,dobry
13,1162,0,200,'\'(55.2-67.6]\'',M,217,48,dobry
13,940,0,300,'\'(67.6-inf)\'',M,49,48,dobry
16,1199.93,0,300,'\'(-inf-30.4]\'',K,138,48,zly
11,2031,0,400,'\'(55.2-67.6]\'',M,110,48,dobry
13,1000,0,500,'\'(55.2-67.6]\'',K,63,48,dobry
11,1050,0,400,'\'(42.8-55.2]\'',K,14,48,dobry
13,1426,0,300,'\'(67.6-inf)\'',M,73,48,dobry
13,1149.06,0,300,'\'(55.2-67.6]\'',K,157,48,dobry
16,387.71,0,200,'\'(42.8-55.2]\'',M,96,48,zly
12,554,0,200,'\'(30.4-42.8]\'',M,3,9,zly
12,1660,0,300,'\'(-inf-30.4]\'',M,9,26,dobry
13,984,0,300,'\'(55.2-67.6]\'',K,6,48,dobry
11,1172.2,0,400,'\'(55.2-67.6]\'',K,33,48,dobry
11,2700,0,400,'\'(30.4-42.8]\'',M,4,48,dobry
13,1500,0,250,'\'(55.2-67.6]\'',K,42,48,dobry
11,1300,0,600,'\'(42.8-55.2]\'',K,64,48,dobry
13,1735,0,694.6,'\'(55.2-67.6]\'',K,50,48,zly
11,1700,0,600,'\'(42.8-55.2]\'',K,85,48,dobry
11,1700,0,500,'\'(42.8-55.2]\'',K,301,48,dobry
12,1500,0,600,'\'(42.8-55.2]\'',K,5,5,dobry
12,2000,0,500,'\'(-inf-30.4]\'',M,14,15,zly
13,1428.55,0,235.97,'\'(55.2-67.6]\'',K,133,48,dobry
13,1100,0,744.6,'\'(55.2-67.6]\'',K,17,48,zly
11,1700,0,300,'\'(42.8-55.2]\'',M,35,48,dobry
11,2505,0,242.73,'\'(30.4-42.8]\'',K,159,48,dobry
13,782,0,283.08,'\'(55.2-67.6]\'',K,188,48,dobry
13,2098,0,700,'\'(67.6-inf)\'',M,193,48,dobry
16,1411,0,400,'\'(55.2-67.6]\'',K,62,48,dobry
17,684,0,800,'\'(55.2-67.6]\'',K,185,48,dobry
17,485,0,500,'\'(55.2-67.6]\'',M,139,48,dobry
13,1137.19,0,400,'\'(55.2-67.6]\'',K,92,48,dobry
12,1050,0,800,'\'(42.8-55.2]\'',M,2,2,zly
11,3170,0,400,'\'(42.8-55.2]\'',K,281,48,dobry
13,1212,0,500,'\'(55.2-67.6]\'',K,49,48,dobry
12,830.46,0,600,'\'(42.8-55.2]\'',K,41,48,dobry
13,1065,0,200,'\'(55.2-67.6]\'',K,17,48,dobry
11,5800,0,900,'\'(42.8-55.2]\'',K,50,48,dobry
13,1503,0,400,'\'(55.2-67.6]\'',M,161,48,dobry
13,1684,0,300,'\'(55.2-67.6]\'',K,15,48,dobry
13,640,0,450,'\'(67.6-inf)\'',K,134,48,dobry
13,2421.55,0,800,'\'(67.6-inf)\'',K,241,48,dobry
11,1000,0,800,'\'(55.2-67.6]\'',M,59,48,dobry
11,1800,0,300,'\'(30.4-42.8]\'',M,161,48,dobry
13,1189,0,285.97,'\'(55.2-67.6]\'',K,65,48,dobry
11,1510,0,700,'\'(55.2-67.6]\'',M,161,48,dobry
11,1680,0,300,'\'(55.2-67.6]\'',K,381,48,dobry
16,655,0,500,'\'(42.8-55.2]\'',K,27,48,dobry
17,646,0,300,'\'(30.4-42.8]\'',K,50,48,dobry
11,2100,0,600,'\'(30.4-42.8]\'',M,279,48,dobry
11,2825,0,300,'\'(30.4-42.8]\'',K,93,48,dobry
11,2800,0,600,'\'(42.8-55.2]\'',K,314,48,dobry
13,3541.9,0,524.09,'\'(67.6-inf)\'',K,122,48,dobry
13,1130,0,300,'\'(55.2-67.6]\'',K,99,48,dobry
11,1290,0,600,'\'(30.4-42.8]\'',K,15,48,dobry
12,988,0,200,'\'(42.8-55.2]\'',M,4,12,dobry
12,1800,0,800,'\'(-inf-30.4]\'',M,4,10,dobry
11,1900,0,903.23,'\'(30.4-42.8]\'',K,175,48,dobry
17,693,0,400,'\'(42.8-55.2]\'',M,15,36,zly
12,1655.76,0,600,'\'(30.4-42.8]\'',M,53,48,zly
13,997,0,300,'\'(55.2-67.6]\'',K,75,48,dobry
13,850,0,400,'\'(55.2-67.6]\'',K,63,48,dobry
13,968.87,0,500,'\'(55.2-67.6]\'',K,10,48,zly
12,1200,0,300,'\'(30.4-42.8]\'',K,4,14,dobry
11,1400,0,200,'\'(42.8-55.2]\'',M,10,48,dobry
13,1700,0,500,'\'(67.6-inf)\'',M,10,48,dobry
12,1800,0,1000,'\'(-inf-30.4]\'',M,6,7,dobry
13,1167.94,0,300,'\'(67.6-inf)\'',K,365,48,dobry
12,1680,1,721.94,'\'(55.2-67.6]\'',K,66,48,dobry
12,1447,1,500,'\'(-inf-30.4]\'',K,17,23,dobry
13,930,1,400,'\'(55.2-67.6]\'',K,126,48,dobry
13,1420.41,1,500,'\'(55.2-67.6]\'',M,20,48,zly
13,810,1,250,'\'(55.2-67.6]\'',K,29,48,dobry
11,1087,0,400,'\'(30.4-42.8]\'',K,234,48,dobry
11,1320,0,500,'\'(42.8-55.2]\'',M,338,48,dobry
13,1015,1,400,'\'(55.2-67.6]\'',K,105,48,dobry
11,3200,0,700,'\'(42.8-55.2]\'',M,185,48,dobry
13,544.63,0,200,'\'(55.2-67.6]\'',K,64,48,zly
16,1340,0,500,'\'(55.2-67.6]\'',K,157,48,dobry
11,1360,1,200,'\'(42.8-55.2]\'',M,115,48,dobry
11,4000,1,1000,'\'(42.8-55.2]\'',M,6,48,dobry
11,2050,1,408.77,'\'(30.4-42.8]\'',K,24,48,dobry
12,2000,1,200,'\'(42.8-55.2]\'',K,30,48,dobry
17,432.87,0,200,'\'(42.8-55.2]\'',K,141,48,dobry
11,3000,1,300,'\'(55.2-67.6]\'',M,208,48,dobry
12,1000,1,200,'\'(-inf-30.4]\'',M,7,24,dobry
99,980,1,449.7,'\'(-inf-30.4]\'',M,7,8,dobry
13,665.92,1,200,'\'(55.2-67.6]\'',K,121,48,dobry
13,1667,0,500,'\'(67.6-inf)\'',K,152,48,dobry
13,3900,1,300,'\'(42.8-55.2]\'',M,26,48,dobry
16,685,0,200,'\'(42.8-55.2]\'',K,37,48,dobry
16,959.6,0,200,'\'(67.6-inf)\'',K,111,48,dobry
13,1031,0,400,'\'(55.2-67.6]\'',K,117,48,dobry
11,1800,0,600,'\'(30.4-42.8]\'',K,47,48,dobry
13,1072,1,432.44,'\'(67.6-inf)\'',K,149,48,dobry
17,985,1,200,'\'(-inf-30.4]\'',M,9,11,dobry
11,1136.8,0,200,'\'(-inf-30.4]\'',M,5,48,dobry
99,2800,1,200,'\'(30.4-42.8]\'',K,6,6,dobry
11,770,1,200,'\'(42.8-55.2]\'',K,99,48,zly
99,750,0,300,'\'(-inf-30.4]\'',M,0,5,dobry
11,2670,1,800,'\'(55.2-67.6]\'',K,84,48,dobry
16,1313.41,0,400,'\'(55.2-67.6]\'',M,23,48,dobry
