@relation '212700L1_2final-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_odmowa_windykacja_sp:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-weka.filters.supervised.attribute.Discretize-R8-precision6-weka.filters.supervised.attribute.Discretize-R2-precision6-weka.filters.supervised.attribute.Discretize-R3-precision1-weka.filters.supervised.attribute.Discretize-R4-precision1-weka.filters.supervised.attribute.Discretize-R7-precision2-weka.filters.supervised.attribute.Discretize-R4-precision2-weka.filters.supervised.attribute.Discretize-R1-precision2-weka.filters.unsupervised.attribute.Reorder-R5,6,7,3,2'

@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' {'\'(-inf-4.5]\'','\'(4.5-inf)\''}
@attribute 'ktore rolowanie' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'miesieczny dochod netto' {'\'(-inf-546.26]\'','\'(546.26-inf)\''}

@data
'\'(-inf-30.4]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(-inf-30.4]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',K,'\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',M,'\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',K,'\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-546.26]\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-546.26]\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-546.26]\''
'\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(-inf-30.4]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(-inf-30.4]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(67.6-inf)\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-546.26]\''
'\'(30.4-42.8]\'',M,'\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
'\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(546.26-inf)\''
